id_producto,no_parte,producto,producto_completo,marca,etiquetas,subcategoria,categoria,cat
1,P540946,Pepinillo agridulce rodaja D´Pascuali,Pepinillo agridulce rodaja D´Pascuali x 250 g,Pascuali,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
2,P880735,Pasta Clásica Fideo Doria,Pasta Clásica Fideo Doria x 250 g.,Doria,Pastas,Despensa,Alimentos y Bebidas,A&B
3,P187536,Pan Baguette rustico de Ajo,Pan baguette ajo x 315 g,Jumbo,Panadería Artesanal,Panadería Y Pastelería,Alimentos y Bebidas,A&B
4,P888411,Cera Mansión Brillo Instantáneo Todo Color 1000ml,Cera Mansión Brillo Instantáneo Todo Color 1000ml,Mansion,Cera,Aseo De Hogar,Hogar,HO
5,P900773,Mansión Cubrerasguños 200ml,Mansión Cubrerasguños 200ml,Mansion,Limpieza De Superficies,Aseo De Hogar,Hogar,HO
6,P413949,Caiman Shock tampa,Caiman Shock tampa x 1 und,Shock,Accesorios De Belleza,Belleza,Salud y Belleza,S&B
7,P739257,Panela Doña Panela cubos limón display,Panela Doña Panela cubos limón display,Dona Panela,"Azúcar, Endulzantes Y Panelas",Despensa,Alimentos y Bebidas,A&B
8,P107912,Galleta Wafer Bridge Vainilla Y Leche,Galleta Wafer Bridge Vainilla Y Leche x 151g,Colombina,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
9,P507711,Syrup chocolate Hersheys,Syrup chocolate Hersheys x 2 und x 1.36 kg c-u,Hersheys,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
10,P934398,Arveja Tierna San Jorga Lata,Arveja Tierna,San Jorge,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
11,P687247,Desodorante Balance men antitranspirante total protección sport gel 72h,Desodorante Balance men antitranspirante total protección sport gel 72h x 102g,Balance,Desodorantes,Cuidado Personal,Salud y Belleza,S&B
12,P384305,Tajitas Piquitos platano verde,Tajitas Piquitos platano verde x 275 g,Piquitos,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
13,P739450,Chocolate JBO tradicional,Chocolate JBO tradicional x500g,Jbo Mp,Chocolate De Mesa,Despensa,Alimentos y Bebidas,A&B
14,P765168,Salsa San Jorge Rosada Doypack,Salsa San Jorge Rosada Doypack x 380 g,San Jorge,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
15,P409994,Yogurt Alquería fortificado melocotón,Yogurt Alquería fortificado melocotón x 150g,Alqueria,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
16,P109015,Salsa de tomate Fruco,Salsa de tomate Fruco x 250 gr,Fruco,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
17,P950224,Tampones Sin Aplicador Nosotras Super,Tampones Sin Aplicador Nosotras Super x 10und + Protectores Diarios Multiestilo x 15und,Nosotras,Protección Femenina,Cuidado Personal,Salud y Belleza,S&B
18,P349109,Esponja Multiespuma scotch Brite,Esponja Multiespuma scotch Brite,Scotch Brite,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
19,P661823,Limpiador antibacterial de neveras binner,Limpiador antibacterial de neveras binner x 500,Binner,Multiusos,Aseo De Hogar,Hogar,HO
20,P823975,Shampoo Anticaspa Arden for Men 3 en 1 310ml,Shampoo Anticaspa Arden for Men 3 en 1 310ml,Arden For Men,Shampoo,Cuidado Personal,Salud y Belleza,S&B
21,P558854,Arepa tela blanca Dona Paisa,Arepa tela blanca Dona Paisa x 5 und x 400g,Dona Paisa,Arepas,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
22,P851039,Mezcla para pancakes Millers tradicional 300g,Mezcla para pancakes Millers tradicional 300g,Millers,Repostería,Dulces Y Postres,Alimentos y Bebidas,A&B
23,P500875,Gelatina Light gelHada Sabor Fresa,Gelatina Light gelHada Sabor Fresa x 12 g,Gel Hada,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
24,P931552,Cerveza Poker lata,Cerveza Poker lata x 6 und x 355ml c-u,Poker,Cervezas,Vinos Y Licores,Alimentos y Bebidas,A&B
25,P165014,Paño hogar eterna,Paño hogar eterna x 4 und,Eterna,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
26,P656046,Bebida Be mas lychee cranberry,Bebida Be mas lychee cranberry x sin azúcar x 350ml - Bebida be mas lychee cranberry x sin azúcar x 350ml,Be Mas,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
27,P907453,Esmalte Masglo primera dama secado rápido,Esmalte Masglo primera dama secado rápido x 13.5 ml,Masglo,Maquillaje,Belleza,Salud y Belleza,S&B
28,P106766,Repuesto Ambientador Aerosol Automático Frescura De Lavanda Bonaire,Repuesto Ambientador Aerosol Automático Frescura De Lavanda Bonaire x 250ml,Bonaire,Ambientadores,Aseo De Hogar,Hogar,HO
29,P317400,Desengrasante Eterna esencia cítrica,Desengrasante Eterna esencia cítrica x 500ml + repuesto x 500ml,Eterna,Multiusos,Aseo De Hogar,Hogar,HO
30,P987453,Miga de Pan Bimbo,Miga de Pan Bimbo x 500g,Bimbo,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
31,P991597,Cebollitas Rojas,Cebollitas Rojas x 250g,La Coruna,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
32,P698662,Brillo Vogue Protector Kiss My lips Mora,Brillo Vogue Protector Kiss My lips Mora X4.8g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
33,P499388,Súper boom desayuno colanta,Súper boom desayuno colanta x 180g,Colanta,Avena,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
34,P975030,Suavizante Downy,Suavizante Downy x 64 onzas,Downy,Suavizantes,Cuidado De Ropa Y Calzado,Hogar,HO
35,P671094,Brownie Individual,Brownie Individual,Jumbo,Antojos,Panadería Y Pastelería,Alimentos y Bebidas,A&B
36,P811995,Jugo del valle fresh naranja,Bebida Naranja,Del Valle,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
37,P253339,Jabón Dove original barra,Jabón Dove original barra x 5 und x 90g c-u precio especial,Dove,Jabones De Tocador,Cuidado Personal,Salud y Belleza,S&B
38,P580253,Mezcla Macadamia Pecan Arándano Uva blanca,Mezcla Macadamia Pecan Arándano Uva blanca x 150 g,Insualimentos,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
39,P700890,Arveja San Jorge zanahoria,Arveja San Jorge zanahoria x 2 und x 180 g c-u,San Jorge,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
40,P405890,Jamón tipo sanduche x 500g Montefrío,Jamón tipo sanduche x 500g Montefrío,Montefrio,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
41,P254208,Panelin redondo fonce 8 unid,Panelin redondo fonce 8 unid x 900g,Del Fonce,"Azúcar, Endulzantes Y Panelas",Despensa,Alimentos y Bebidas,A&B
42,P956668,Té Hindu,Té Hindu x 12und x 19.2g,Hindu,"Té, Infusiones E Instantáneos",Despensa,Alimentos y Bebidas,A&B
43,P496294,Esmalte Vogue Fantastic Ejecutivo Francés 10 Ml,Esmalte Vogue Fantastic Ejecutivo Francés 10 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
44,P790758,Aromatizante Glade manzana canela gel,Aromatizante Glade manzana canela gel x 170g,Glade,Ambientadores,Aseo De Hogar,Hogar,HO
45,P735984,Sazonador para Guacamole McCormick x 28g,Sazonador para Guacamole McCormick x 28g,Mccormick,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
46,P973196,Miel La abeja doradax 520 g,Miel La abeja doradax 520 g,La Abeja Dorada,Mermelada Y Cremas De Untar,Pasabocas,Alimentos y Bebidas,A&B
47,P357042,Canela molida Granaroma,Canela molida Granaroma x 16 gr,Granaroma,"Condimentos, Caldos Y Sal",Despensa,Alimentos y Bebidas,A&B
48,P488198,Goma surtida,Goma surtida x 125g,Italo,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
49,P611479,Quesillo,Quesillo x 450 g colanta,Colanta,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
50,P906001,Mascarilla Vitú facial frutos rojos cremosa,Mascarilla Vitú facial frutos rojos cremosa x 15g,Vitu,Cuidado Facial,Belleza,Salud y Belleza,S&B
51,P575805,Mascarilla en Tela Garnier Skin Active Matificante 32 Gr,Mascarilla en Tela Garnier Skin Active Matificante 32 Gr,Garnier,Acondicionadores Y Tratamientos,Cuidado Personal,Salud y Belleza,S&B
52,P511006,Agua a de coco natural Adecoco,Agua a de coco natural Adecoco x 330 ml,Adecoco,Leches Vegetales,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
53,P278298,Chips quinoa SIMPLY 7 Crema agria cebolla,Chips quinoa SIMPLY 7 Crema agria cebolla x 99g,Simply 7,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
54,P334049,Vinagre blanco de la selva,Vinagre blanco de la selva x 1000 ml,De La Selva,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
55,P765543,Coco con hojuelas,Coco con hojuelas x 100 g,Insualimentos,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
56,P994166,Barquillos Piazza Lonchera Surtido,Barquillos Piazza Lonchera Surtido x 5Paq. x 111.5g,Piazza,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
57,P833163,Caldo De Verduras Deshidratado Maggi Doble Gusto con Cilantro,Caldo De Verduras Deshidratado Maggi Doble Gusto con Cilantro x12 cubos x 120 g.,Maggi,"Condimentos, Caldos Y Sal",Despensa,Alimentos y Bebidas,A&B
58,P634919,Hamburguesa Res Preasada Zenú,Hamburguesa Res Preasada Zenú x 400 g.,Zenu,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
59,P398193,Corta uñas pequeño,Corta uñas pequeño,Freestyle,Accesorios De Belleza,Belleza,Salud y Belleza,S&B
60,P373705,Jabón Dersa de coco con suavizante en barra,Jabón Dersa de coco con suavizante en barra x 3 und x 200 g,Dersa,Jabones De Barra,Cuidado De Ropa Y Calzado,Hogar,HO
61,P427256,Vino Santa Helena tinto,Vino Santa Helena tinto x 750ml,Santa Helena,Vino,Vinos Y Licores,Alimentos y Bebidas,A&B
62,P268655,Cerveza 3 cordilleras rosada botella,Cerveza 3 cordilleras rosada botella x 330 ml,3 Cordilleras,Cervezas,Vinos Y Licores,Alimentos y Bebidas,A&B
63,P945832,Leche en polvo Alquería entera,Leche en polvo Alquería entera x 330g,Alqueria,Leche,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
64,P221562,Harina PAN Amarilla,Harina PAN Amarilla x 1000 g,Pan,Harinas Y Mezclas Para Preparar,Despensa,Alimentos y Bebidas,A&B
65,P103540,Tinte Garnier Cor Intensa Rojo Intenso 6.6,Tinte Garnier Cor Intensa Rojo Intenso 6.6,Nutrisse,Coloración,Belleza,Salud y Belleza,S&B
66,P204643,Max Combi,Max Combi x 50und x 235g,Max,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
67,P453681,Quipitos pops bolsa,Quipitos pops bolsa x 5 unidades x 40 g,Quipitos,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
68,P459264,Cortaúñas para bebé Ubl,Cortaúñas para bebé Ubl x 1 und,Ubl,Accesorios De Belleza,Belleza,Salud y Belleza,S&B
69,P489329,Color spray Palette tinte turquesa,Color spray Palette tinte turquesa x 120 ml,Palette,Coloración,Belleza,Salud y Belleza,S&B
70,P550599,Gaseosa Coca Cola cero en vidrio x 300 ml - Gaseosa Coca cola cero en vidrio x 300 ml,Gaseosa Coca Cola cero en vidrio x 300 ml - Gaseosa Coca cola cero en vidrio x 300 ml,Coca Cola,Gaseosas,Bebidas,Alimentos y Bebidas,A&B
71,P741444,Tostadas Integrales Bimbo 20 Und,Tostadas Integrales Bimbo 20 Und x 300g,Bimbo,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
72,P966465,Esmalte Vogue fantastic champaña,Esmalte Vogue fantastic champaña x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
73,P493724,Chocolatina Hersheys Cookies N Creme,Chocolatina Hersheys Cookies N Creme x 8und x 102g,Hersheys,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
74,P783976,Gelatina Boggy fresa premio x 108 g,Gelatina Boggy fresa premio x 108 g,Boggy,Postres Refrigerados,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
75,P572071,Clorox Blancos Intensos,Clorox Blancos Intensos x 930ml,Clorox,Blanqueadores,Aseo De Hogar,Hogar,HO
